vial_num,vial_letter,fecundity,MaternalVial,Treatment,PaternalStock,min_age,max_age,num_moms,age_diff,avg_age
1,A,24.8,16,1x,42,2,2,10,0,2
1,D,18.1,16,1x,42,2,2,10,0,2
1,C,16.8,16,1x,42,2,2,10,0,2
1,B,27.4,16,1x,42,2,2,10,0,2
10,A,32.3,53,2x,217,2,2,10,0,2
10,D,31.3,53,2x,217,2,2,10,0,2
10,C,9.2,53,2x,217,2,2,10,0,2
10,B,10.3,53,2x,217,2,2,10,0,2
100,D,29.4285714285714,47,0.5x,217,6,6,7,0,6
100,B,31.8571428571429,47,0.5x,217,6,6,7,0,6
100,A,44.4285714285714,47,0.5x,217,6,6,7,0,6
100,C,19.7142857142857,47,0.5x,217,6,6,7,0,6
101,A,22.1428571428571,75,1x,42,4,5,7,1,4.5
101,D,20.4285714285714,75,1x,42,4,5,7,1,4.5
101,C,16.2857142857143,75,1x,42,4,5,7,1,4.5
101,B,6.85714285714286,75,1x,42,4,5,7,1,4.5
102,A,4.9,74,2x,42,4,4,10,0,4
102,C,3.1,74,2x,42,4,4,10,0,4
102,D,2.5,74,2x,42,4,4,10,0,4
102,B,4.2,74,2x,42,4,4,10,0,4
103,A,0,61,0.5x,42,6,6,7,0,6
103,D,0,61,0.5x,42,6,6,7,0,6
103,C,0,61,0.5x,42,6,6,7,0,6
103,B,0,61,0.5x,42,6,6,7,0,6
104,C,12.9,66,2x,217,4,4,10,0,4
104,B,8.3,66,2x,217,4,4,10,0,4
104,A,28.1,66,2x,217,4,4,10,0,4
104,D,17.8,66,2x,217,4,4,10,0,4
105,B,32.8333333333333,53,2x,217,7,7,6,0,7
105,A,13.3333333333333,53,2x,217,7,7,6,0,7
105,C,10.8333333333333,53,2x,217,7,7,6,0,7
105,D,38.3333333333333,53,2x,217,7,7,6,0,7
106,A,7,57,1x,217,6,6,7,0,6
106,C,16.1428571428571,57,1x,217,6,6,7,0,6
106,B,36.2857142857143,57,1x,217,6,6,7,0,6
106,D,21.8571428571429,57,1x,217,6,6,7,0,6
107,A,18.5555555555556,69,1x,217,5,5,9,0,5
107,C,29.4444444444444,69,1x,217,5,5,9,0,5
107,D,19.2222222222222,69,1x,217,5,5,9,0,5
107,B,23.7777777777778,69,1x,217,5,5,9,0,5
108,C,2.45454545454545,72,1x,42,5,6,11,1,5.5
108,A,9.72727272727273,72,1x,42,5,6,11,1,5.5
108,B,10.6363636363636,72,1x,42,5,6,11,1,5.5
108,D,6.63636363636364,72,1x,42,5,6,11,1,5.5
109,D,14.6666666666667,73,2x,42,4,5,6,1,4.5
109,A,34.1666666666667,73,2x,42,4,5,6,1,4.5
109,C,16.5,73,2x,42,4,5,6,1,4.5
109,B,9.5,73,2x,42,4,5,6,1,4.5
11,B,19.8,53,2x,217,2,2,10,0,2
11,A,18.4,53,2x,217,2,2,10,0,2
11,C,28.8,53,2x,217,2,2,10,0,2
11,D,5.4,53,2x,217,2,2,10,0,2
110,B,22.5714285714286,51,0.5x,42,5,5,7,0,5
110,A,23.7142857142857,51,0.5x,42,5,5,7,0,5
110,C,6.85714285714286,51,0.5x,42,5,5,7,0,5
110,D,24.5714285714286,51,0.5x,42,5,5,7,0,5
111,D,0,61,0.5x,42,5,5,6,0,5
111,A,0,61,0.5x,42,5,5,6,0,5
111,C,0,61,0.5x,42,5,5,6,0,5
111,B,0,61,0.5x,42,5,5,6,0,5
112,B,26.6666666666667,40,2x,217,5,7,6,2,6
112,D,15.5,40,2x,217,5,7,6,2,6
112,A,24.6666666666667,40,2x,217,5,7,6,2,6
112,C,25.3333333333333,40,2x,217,5,7,6,2,6
113,C,36,17,0.5x,217,4,4,6,0,4
113,D,18.6666666666667,17,0.5x,217,4,4,6,0,4
113,A,33.5,17,0.5x,217,4,4,6,0,4
113,B,34.1666666666667,17,0.5x,217,4,4,6,0,4
114,C,29,57,1x,217,5,5,9,0,5
114,A,23.1111111111111,57,1x,217,5,5,9,0,5
114,D,23.8888888888889,57,1x,217,5,5,9,0,5
114,B,6.11111111111111,57,1x,217,5,5,9,0,5
115,B,18.1428571428571,25,0.5x,217,4,6,7,2,5
115,A,28.5714285714286,25,0.5x,217,4,6,7,2,5
115,C,22.4285714285714,25,0.5x,217,4,6,7,2,5
115,D,13.1428571428571,25,0.5x,217,4,6,7,2,5
116,A,20.8571428571429,54,0.5x,42,4,5,7,1,4.5
116,B,9.14285714285714,54,0.5x,42,4,5,7,1,4.5
116,C,29.1428571428571,54,0.5x,42,4,5,7,1,4.5
116,D,13.1428571428571,54,0.5x,42,4,5,7,1,4.5
117,B,13,49,2x,42,7,7,8,0,7
117,A,11.625,49,2x,42,7,7,8,0,7
117,C,31.875,49,2x,42,7,7,8,0,7
117,D,7.75,49,2x,42,7,7,8,0,7
118,A,16.125,49,2x,42,6,6,8,0,6
118,B,18.625,49,2x,42,6,6,8,0,6
118,C,18.625,49,2x,42,6,6,8,0,6
118,D,8.625,49,2x,42,6,6,8,0,6
119,B,13.8333333333333,55,1x,42,5,5,6,0,5
119,A,15.5,55,1x,42,5,5,6,0,5
119,C,8.5,55,1x,42,5,5,6,0,5
119,D,6.33333333333333,55,1x,42,5,5,6,0,5
12,A,0,55,1x,42,2,2,10,0,2
12,C,0,55,1x,42,2,2,10,0,2
12,D,0,55,1x,42,2,2,10,0,2
12,B,0,55,1x,42,2,2,10,0,2
120,C,32.4444444444444,13,2x,217,6,7,9,1,6.5
120,A,5.88888888888889,13,2x,217,6,7,9,1,6.5
120,D,17.2222222222222,13,2x,217,6,7,9,1,6.5
120,B,8.66666666666667,13,2x,217,6,7,9,1,6.5
121,D,15.625,53,2x,217,6,6,8,0,6
121,C,35.875,53,2x,217,6,6,8,0,6
121,B,24.75,53,2x,217,6,6,8,0,6
121,A,22.375,53,2x,217,6,6,8,0,6
122,D,18.1428571428571,45,0.5x,217,6,6,7,0,6
122,C,18.8571428571429,45,0.5x,217,6,6,7,0,6
122,A,29.5714285714286,45,0.5x,217,6,6,7,0,6
122,B,18.8571428571429,45,0.5x,217,6,6,7,0,6
123,C,31.6666666666667,50,2x,42,5,5,9,0,5
123,D,10.7777777777778,50,2x,42,5,5,9,0,5
123,A,19.7777777777778,50,2x,42,5,5,9,0,5
123,B,6.44444444444444,50,2x,42,5,5,9,0,5
124,D,9.7,39,1x,42,6,6,10,0,6
124,C,29,39,1x,42,6,6,10,0,6
124,B,25.6,39,1x,42,6,6,10,0,6
124,A,12.1,39,1x,42,6,6,10,0,6
125,D,0,48,0.5x,42,6,6,6,0,6
125,C,0,48,0.5x,42,6,6,6,0,6
125,A,0,48,0.5x,42,6,6,6,0,6
125,B,1.16666666666667,48,0.5x,42,6,6,6,0,6
126,A,9.66666666666667,38,0.5x,42,6,6,9,0,6
126,B,9.88888888888889,38,0.5x,42,6,6,9,0,6
126,C,6.33333333333333,38,0.5x,42,6,6,9,0,6
126,D,3.88888888888889,38,0.5x,42,6,6,9,0,6
127,A,0,34,2x,42,4,4,7,0,4
127,C,0,34,2x,42,4,4,7,0,4
127,D,0,34,2x,42,4,4,7,0,4
128,C,43.3333333333333,14,1x,217,5,5,6,0,5
128,D,39.6666666666667,14,1x,217,5,5,6,0,5
128,B,29.8333333333333,14,1x,217,5,5,6,0,5
128,A,34,14,1x,217,5,5,6,0,5
13,C,6.625,25,0.5x,217,5,5,8,0,5
13,D,33.875,25,0.5x,217,5,5,8,0,5
13,B,26.75,25,0.5x,217,5,5,8,0,5
13,A,22.5,25,0.5x,217,5,5,8,0,5
130,C,16.875,4,1x,217,5,6,8,1,5.5
130,A,31.125,4,1x,217,5,6,8,1,5.5
130,B,19.625,4,1x,217,5,6,8,1,5.5
130,D,12.5,4,1x,217,5,6,8,1,5.5
131,A,19.8888888888889,13,2x,217,5,5,9,0,5
131,C,34.7777777777778,13,2x,217,5,5,9,0,5
131,B,15.1111111111111,13,2x,217,5,5,9,0,5
131,D,13.4444444444444,13,2x,217,5,5,9,0,5
132,C,39.7142857142857,9,1x,217,5,7,7,2,6
132,A,43.5714285714286,9,1x,217,5,7,7,2,6
132,B,26,9,1x,217,5,7,7,2,6
132,D,24,9,1x,217,5,7,7,2,6
133,A,31.3333333333333,12,0.5x,217,5,6,6,1,5.5
133,C,38.3333333333333,12,0.5x,217,5,6,6,1,5.5
133,D,19,12,0.5x,217,5,6,6,1,5.5
133,B,21.8333333333333,12,0.5x,217,5,6,6,1,5.5
134,D,11.5,35,0.5x,42,6,6,6,0,6
134,A,15,35,0.5x,42,6,6,6,0,6
134,C,29.3333333333333,35,0.5x,42,6,6,6,0,6
134,B,12.3333333333333,35,0.5x,42,6,6,6,0,6
135,D,0,33,0.5x,42,6,7,8,1,6.5
135,A,0,33,0.5x,42,6,7,8,1,6.5
135,C,0,33,0.5x,42,6,7,8,1,6.5
135,B,0,33,0.5x,42,6,7,8,1,6.5
137,C,30.375,32,0.5x,42,6,7,8,1,6.5
137,D,11,32,0.5x,42,6,7,8,1,6.5
137,A,11.125,32,0.5x,42,6,7,8,1,6.5
137,B,13,32,0.5x,42,6,7,8,1,6.5
138,D,11.3333333333333,34,2x,42,7,7,6,0,7
138,C,17.6666666666667,34,2x,42,7,7,6,0,7
138,A,6.16666666666667,34,2x,42,7,7,6,0,7
138,B,12.8333333333333,34,2x,42,7,7,6,0,7
139,D,21.4285714285714,21,0.5x,42,5,7,7,2,6
139,B,14.1428571428571,21,0.5x,42,5,7,7,2,6
139,C,41.1428571428571,21,0.5x,42,5,7,7,2,6
139,A,23,21,0.5x,42,5,7,7,2,6
14,D,47.1666666666667,24,2x,217,7,7,6,0,7
14,A,40.1666666666667,24,2x,217,7,7,6,0,7
14,B,34.6666666666667,24,2x,217,7,7,6,0,7
14,C,16.6666666666667,24,2x,217,7,7,6,0,7
140,A,14.3333333333333,50,2x,42,6,6,6,0,6
140,C,36.3333333333333,50,2x,42,6,6,6,0,6
140,D,10.5,50,2x,42,6,6,6,0,6
140,B,12,50,2x,42,6,6,6,0,6
141,C,11.3333333333333,20,1x,42,3,4,6,1,3.5
141,A,0.166666666666667,20,1x,42,3,4,6,1,3.5
141,D,7.83333333333333,20,1x,42,3,4,6,1,3.5
141,B,10.1666666666667,20,1x,42,3,4,6,1,3.5
142,D,0,2,2x,42,4,5,6,1,4.5
142,C,0.833333333333333,2,2x,42,4,5,6,1,4.5
142,B,0.666666666666667,2,2x,42,4,5,6,1,4.5
142,A,1,2,2x,42,4,5,6,1,4.5
147,B,16,44,1x,217,3,3,9,0,3
147,C,32.5555555555556,44,1x,217,3,3,9,0,3
147,A,28.7777777777778,44,1x,217,3,3,9,0,3
147,D,22.6666666666667,44,1x,217,3,3,9,0,3
148,A,12.125,30,1x,217,2,3,8,1,2.5
148,B,30.375,30,1x,217,2,3,8,1,2.5
148,D,28.875,30,1x,217,2,3,8,1,2.5
148,C,27.875,30,1x,217,2,3,8,1,2.5
149,B,22.8571428571429,4,1x,217,2,3,7,1,2.5
149,D,19.4285714285714,4,1x,217,2,3,7,1,2.5
149,A,13.7142857142857,4,1x,217,2,3,7,1,2.5
149,C,34.2857142857143,4,1x,217,2,3,7,1,2.5
15,C,7.75,29,0.5x,217,5,5,8,0,5
15,D,39.125,29,0.5x,217,5,5,8,0,5
15,A,11.25,29,0.5x,217,5,5,8,0,5
15,B,15.75,29,0.5x,217,5,5,8,0,5
150,B,16,12,0.5x,217,2,2,6,0,2
150,D,33.5,12,0.5x,217,2,2,6,0,2
150,A,18.3333333333333,12,0.5x,217,2,2,6,0,2
150,C,27.3333333333333,12,0.5x,217,2,2,6,0,2
151,B,14.875,7,0.5x,42,2,3,8,1,2.5
151,C,15.375,7,0.5x,42,2,3,8,1,2.5
151,A,16.75,7,0.5x,42,2,3,8,1,2.5
151,D,13.625,7,0.5x,42,2,3,8,1,2.5
152,B,5.28571428571429,39,1x,42,2,2,7,0,2
152,A,17.5714285714286,39,1x,42,2,2,7,0,2
152,C,8.28571428571429,39,1x,42,2,2,7,0,2
152,D,8.42857142857143,39,1x,42,2,2,7,0,2
153,B,4.85714285714286,38,0.5x,42,2,2,7,0,2
153,A,32.8571428571429,38,0.5x,42,2,2,7,0,2
153,D,8.85714285714286,38,0.5x,42,2,2,7,0,2
153,C,19.1428571428571,38,0.5x,42,2,2,7,0,2
154,D,5.16666666666667,23,0.5x,42,2,4,6,2,3
154,B,11.5,23,0.5x,42,2,4,6,2,3
154,A,30.5,23,0.5x,42,2,4,6,2,3
154,C,7.5,23,0.5x,42,2,4,6,2,3
155,B,13.8333333333333,11,0.5x,42,2,3,6,1,2.5
155,C,8.83333333333333,11,0.5x,42,2,3,6,1,2.5
155,D,7.83333333333333,11,0.5x,42,2,3,6,1,2.5
155,A,24.8333333333333,11,0.5x,42,2,3,6,1,2.5
156,B,15.7142857142857,43,1x,42,2,3,7,1,2.5
156,C,1.57142857142857,43,1x,42,2,3,7,1,2.5
156,A,24.4285714285714,43,1x,42,2,3,7,1,2.5
156,D,31.2857142857143,43,1x,42,2,3,7,1,2.5
157,C,0,55,1x,42,2,2,6,0,2
157,B,0.333333333333333,55,1x,42,2,2,6,0,2
157,A,0.166666666666667,55,1x,42,2,2,6,0,2
157,D,0,55,1x,42,2,2,6,0,2
158,A,0.166666666666667,19,0.5x,42,2,3,6,1,2.5
158,C,0,19,0.5x,42,2,3,6,1,2.5
158,B,0.166666666666667,19,0.5x,42,2,3,6,1,2.5
158,D,0.5,19,0.5x,42,2,3,6,1,2.5
159,A,8.875,61,0.5x,42,2,2,8,0,2
159,B,7.875,61,0.5x,42,2,2,8,0,2
159,C,1.875,61,0.5x,42,2,2,8,0,2
159,D,5,61,0.5x,42,2,2,8,0,2
160,A,7.5,31,1x,42,2,3,6,1,2.5
160,B,18.6666666666667,31,1x,42,2,3,6,1,2.5
160,C,2.66666666666667,31,1x,42,2,3,6,1,2.5
160,D,18.8333333333333,31,1x,42,2,3,6,1,2.5
161,A,0,35,0.5x,42,3,3,7,0,3
161,B,0,35,0.5x,42,3,3,7,0,3
161,C,0,35,0.5x,42,3,3,7,0,3
161,D,0,35,0.5x,42,3,3,7,0,3
162,A,6.83333333333333,6,0.5x,42,2,4,6,2,3
162,B,29,6,0.5x,42,2,4,6,2,3
162,C,5.5,6,0.5x,42,2,4,6,2,3
162,D,10.5,6,0.5x,42,2,4,6,2,3
163,C,13.8571428571429,76,0.5x,42,4,4,7,0,4
163,A,35.8571428571429,76,0.5x,42,4,4,7,0,4
163,B,43.1428571428571,76,0.5x,42,4,4,7,0,4
163,D,21.4285714285714,76,0.5x,42,4,4,7,0,4
164,D,21.7,43,1x,42,4,4,10,0,4
164,A,5.2,43,1x,42,4,4,10,0,4
164,B,10.7,43,1x,42,4,4,10,0,4
164,C,8.8,43,1x,42,4,4,10,0,4
165,B,0,33,0.5x,42,5,5,6,0,5
165,A,0,33,0.5x,42,5,5,6,0,5
165,C,0,33,0.5x,42,5,5,6,0,5
165,D,0,33,0.5x,42,5,5,6,0,5
166,C,0,46,0.5x,42,4,4,6,0,4
166,B,0,46,0.5x,42,4,4,6,0,4
166,A,0,46,0.5x,42,4,4,6,0,4
166,D,0,46,0.5x,42,4,4,6,0,4
167,D,0,28,1x,42,4,4,6,0,4
167,C,0,28,1x,42,4,4,6,0,4
167,A,0,28,1x,42,4,4,6,0,4
167,B,0,28,1x,42,4,4,6,0,4
168,A,0,48,0.5x,42,3,3,10,0,3
168,D,0,48,0.5x,42,3,3,10,0,3
168,B,0,48,0.5x,42,3,3,10,0,3
168,C,0,48,0.5x,42,3,3,10,0,3
169,A,1.83333333333333,21,0.5x,42,2,4,6,2,3
169,B,1.5,21,0.5x,42,2,4,6,2,3
169,C,0.333333333333333,21,0.5x,42,2,4,6,2,3
169,D,0.666666666666667,21,0.5x,42,2,4,6,2,3
17,A,26.25,18,1x,217,5,7,8,2,6
17,C,53.625,18,1x,217,5,7,8,2,6
17,D,24,18,1x,217,5,7,8,2,6
17,B,8.625,18,1x,217,5,7,8,2,6
170,C,0,27,0.5x,42,2,3,6,1,2.5
170,D,0,27,0.5x,42,2,3,6,1,2.5
170,A,0.166666666666667,27,0.5x,42,2,3,6,1,2.5
170,B,0,27,0.5x,42,2,3,6,1,2.5
171,C,14.8571428571429,37,0.5x,217,3,3,7,0,3
171,D,35.7142857142857,37,0.5x,217,3,3,7,0,3
171,B,20.8571428571429,37,0.5x,217,3,3,7,0,3
171,A,29.4285714285714,37,0.5x,217,3,3,7,0,3
172,D,19,26,0.5x,217,3,4,6,1,3.5
172,A,21.8333333333333,26,0.5x,217,3,4,6,1,3.5
172,C,17.1666666666667,26,0.5x,217,3,4,6,1,3.5
172,B,16,26,0.5x,217,3,4,6,1,3.5
173,D,33.8571428571429,41,1x,217,3,4,7,1,3.5
173,A,16.7142857142857,41,1x,217,3,4,7,1,3.5
173,C,24.1428571428571,41,1x,217,3,4,7,1,3.5
174,B,21.8888888888889,45,0.5x,217,3,4,9,1,3.5
174,C,9.55555555555556,45,0.5x,217,3,4,9,1,3.5
174,A,10.3333333333333,45,0.5x,217,3,4,9,1,3.5
174,D,29.3333333333333,45,0.5x,217,3,4,9,1,3.5
175,B,2.3,52,0.5x,217,3,3,10,0,3
175,A,12.3,52,0.5x,217,3,3,10,0,3
175,C,11.7,52,0.5x,217,3,3,10,0,3
175,D,26.5,52,0.5x,217,3,3,10,0,3
177,A,17.8333333333333,53,2x,217,3,4,6,1,3.5
177,D,14.8333333333333,53,2x,217,3,4,6,1,3.5
177,B,12.1666666666667,53,2x,217,3,4,6,1,3.5
177,C,11.1666666666667,53,2x,217,3,4,6,1,3.5
178,D,20.4285714285714,66,2x,217,6,6,7,0,6
178,A,19.1428571428571,66,2x,217,6,6,7,0,6
178,B,4.42857142857143,66,2x,217,6,6,7,0,6
178,C,5.85714285714286,66,2x,217,6,6,7,0,6
179,B,9.5,65,0.5x,217,3,4,6,1,3.5
179,D,20.6666666666667,65,0.5x,217,3,4,6,1,3.5
179,C,7.5,65,0.5x,217,3,4,6,1,3.5
179,A,13.6666666666667,65,0.5x,217,3,4,6,1,3.5
18,B,34.3333333333333,30,1x,217,5,5,6,0,5
18,A,22.5,30,1x,217,5,5,6,0,5
18,D,42.8333333333333,30,1x,217,5,5,6,0,5
18,C,22.8333333333333,30,1x,217,5,5,6,0,5
180,D,30.4285714285714,68,0.5x,217,3,5,7,2,4
180,A,20.1428571428571,68,0.5x,217,3,5,7,2,4
180,B,9,68,0.5x,217,3,5,7,2,4
180,C,12.5714285714286,68,0.5x,217,3,5,7,2,4
181,D,45,66,2x,217,3,4,6,1,3.5
181,A,19,66,2x,217,3,4,6,1,3.5
181,B,8.83333333333333,66,2x,217,3,4,6,1,3.5
181,C,8,66,2x,217,3,4,6,1,3.5
182,A,32.8,62,1x,217,3,3,10,0,3
182,D,15.2,62,1x,217,3,3,10,0,3
182,B,9.2,62,1x,217,3,3,10,0,3
182,C,1.7,62,1x,217,3,3,10,0,3
183,A,43.1428571428571,47,0.5x,217,3,3,7,0,3
183,C,0.285714285714286,47,0.5x,217,3,3,7,0,3
183,B,23.1428571428571,47,0.5x,217,3,3,7,0,3
183,D,34.4285714285714,47,0.5x,217,3,3,7,0,3
184,D,33.25,57,1x,217,3,3,8,0,3
184,C,4.5,57,1x,217,3,3,8,0,3
184,A,17.75,57,1x,217,3,3,8,0,3
184,B,37.5,57,1x,217,3,3,8,0,3
185,D,24.5,70,0.5x,217,3,5,6,2,4
185,A,14.1666666666667,70,0.5x,217,3,5,6,2,4
185,B,3.66666666666667,70,0.5x,217,3,5,6,2,4
185,C,11.8333333333333,70,0.5x,217,3,5,6,2,4
186,A,25.5714285714286,71,1x,217,3,4,7,1,3.5
186,B,6.85714285714286,71,1x,217,3,4,7,1,3.5
186,C,17,71,1x,217,3,4,7,1,3.5
186,D,31.8571428571429,71,1x,217,3,4,7,1,3.5
187,A,21.3333333333333,47,0.5x,217,3,3,6,0,3
187,B,5.33333333333333,47,0.5x,217,3,3,6,0,3
187,C,19.5,47,0.5x,217,3,3,6,0,3
187,D,28.1666666666667,47,0.5x,217,3,3,6,0,3
188,B,11.8571428571429,62,1x,217,4,4,7,0,4
188,C,25.4285714285714,62,1x,217,4,4,7,0,4
188,D,24.5714285714286,62,1x,217,4,4,7,0,4
188,A,13,62,1x,217,4,4,7,0,4
189,D,24,37,0.5x,217,4,4,8,0,4
189,A,24.5,37,0.5x,217,4,4,8,0,4
189,C,14.75,37,0.5x,217,4,4,8,0,4
189,B,16.5,37,0.5x,217,4,4,8,0,4
19,C,38.3333333333333,24,2x,217,5,6,6,1,5.5
19,D,44,24,2x,217,5,6,6,1,5.5
19,A,23.5,24,2x,217,5,6,6,1,5.5
19,B,33.8333333333333,24,2x,217,5,6,6,1,5.5
190,A,12.6666666666667,5,0.5x,217,4,4,6,0,4
190,C,0,5,0.5x,217,4,4,6,0,4
190,B,0,5,0.5x,217,4,4,6,0,4
190,D,0,5,0.5x,217,4,4,6,0,4
191,A,11.5714285714286,67,0.5x,217,4,4,7,0,4
191,B,12.8571428571429,67,0.5x,217,4,4,7,0,4
191,D,24.2857142857143,67,0.5x,217,4,4,7,0,4
