Date,Vial,Syringe No,Species,Round,Sex,Pre-Weight,Time,Chm Vol,Inj Vol,TVCO2,TVO2,Stock,Treatment
4/19/23,3,1,DMEL,1,F,0.0011,4.2,0.50,0.25,2.65E+01,31.59617,42,1.0
4/19/23,3,2,DMEL,1,F,0.0011,4.233333333,0.50,0.25,2.58E+01,33.48256,42,1.0
4/19/23,3,3,DMEL,1,F,0.0011,4.283333333,0.50,0.25,2.45E+01,29.4232,42,1.0
4/19/23,3,4,DMEL,1,F,0.0012,4.333333333,0.50,0.25,2.79E+01,33.52721,42,1.0
4/19/23,5,5,DMEL,1,F,0.0014,7.666666667,0.50,0.25,2.77E+01,4.15E+01,217,0.5
4/19/23,12,6,DMEL,1,F,0.0012,4.416666667,0.50,0.25,3.13E+01,3.89E+01,217,0.5
4/19/23,12,7,DMEL,1,F,0.0015,4.466666667,0.50,0.25,2.77E+01,39.2749,217,0.5
4/19/23,12,8,DMEL,1,F,0.0010,4.516666667,0.50,0.25,3.4997E+01,42.71742,217,0.5
4/19/23,12,9,DMEL,1,F,0.0013,4.566666667,0.50,0.25,3.1543E+01,41.06804,217,0.5
4/19/23,12,10,DMEL,1,F,0.0012,4.65,0.50,0.25,3.0772E+01,27.42906,217,0.5
4/19/23,12,11,DMEL,1,F,0.0014,4.683333333,0.50,0.25,2.6516E+01,33.58677,217,0.5
4/19/23,6,12,DMEL,1,F,0.0010,4.733333333,0.50,0.25,3.14E+01,44.84882,217,1.0
4/19/23,6,13,DMEL,1,F,0.0011,4.466666667,0.50,0.25,2.76E+01,41.78621,217,1.0
4/19/23,6,14,DMEL,1,F,0.0010,4.516666667,0.50,0.25,2.68E+01,27.85063,217,1.0
4/19/23,7,15,DMEL,1,F,0.0012,4.566666667,0.50,0.25,3.12E+01,4.16E+01,217,2.0
4/19/23,2,16,DMEL,1,F,0.0011,4.6,0.50,0.25,3.20E+01,4.92E+01,42,0.5
4/19/23,2,17,DMEL,1,F,0.0012,4.65,0.50,0.25,3.26E+01,3.89E+01,42,0.5
4/19/23,2,18,DMEL,1,F,0.0008,4.7,0.50,0.25,2.69E+01,3.23E+01,42,0.5
4/19/23,15,19,DMEL,1,F,0.0012,4.75,0.50,0.25,1.99E+01,26.97369,217,2.0
4/19/23,15,20,DMEL,1,F,0.0011,4.783333333,0.50,0.25,1.78E+01,2.62E+01,217,2.0
4/19/23,15,21,DMEL,1,F,0.0014,4.833333333,0.50,0.25,2.04E+01,2.69E+01,217,2.0
4/19/23,15,22,DMEL,1,F,0.0013,4.9,0.50,0.25,2.27E+01,3.19E+01,217,2.0
4/19/23,15,23,DMEL,1,F,0.0013,4.95,0.50,0.25,1.89E+01,2.38E+01,217,2.0
4/19/23,15,24,DMEL,1,F,0.0013,5,0.50,0.25,1.90E+01,2.03E+01,217,2.0
4/19/23,15,25,DMEL,1,F,0.0013,4.75,0.50,0.25,1.87E+01,2.56E+01,217,2.0
4/19/23,11,26,DMEL,1,F,0.0018,4.816666667,0.50,0.25,5.72E+01,5.75E+01,217,2.0
4/19/23,11,27,DMEL,1,F,0.0011,4.9,0.50,0.25,3.53E+01,6.63E+01,217,2.0
4/19/23,11,28,DMEL,1,F,0.0012,4.966666667,0.50,0.25,2.67E+01,3.55E+01,217,2.0
4/19/23,11,29,DMEL,1,F,0.0012,5.016666667,0.50,0.25,2.93E+01,3.84E+01,217,2.0
4/19/23,4,30,DMEL,1,F,0.0011,5.066666667,0.50,0.25,3.43E+01,41.0886,217,2.0
4/19/23,1,31,DMEL,1,F,0.0010,5.116666667,0.50,0.25,4.01E+01,54.87922,42,2.0
4/19/23,1,32,DMEL,1,F,0.0010,5.166666667,0.50,0.25,4.05E+01,50.41763,42,2.0
4/19/23,1,33,DMEL,1,F,0.0010,5.233333333,0.50,0.25,3.92E+01,4.86E+01,42,2.0
4/19/23,1,34,DMEL,1,F,0.0011,5.3,0.50,0.25,3.43E+01,4.10E+01,42,2.0
4/19/23,10,35,DMEL,1,F,0.0014,5.366666667,0.50,0.25,4.06E+01,5.16E+01,42,0.5
4/19/23,10,36,DMEL,1,F,0.0012,6.416666667,0.50,0.25,4.12E+01,4.45E+01,42,0.5
4/19/23,10,37,DMEL,1,F,0.0011,6.466666667,0.50,0.25,3.55E+01,4.18E+01,42,0.5
4/19/23,10,38,DMEL,1,F,0.0012,6.516666667,0.50,0.25,3.43E+01,4.76E+01,42,0.5
4/19/23,9,39,DMEL,1,F,0.0011,6.566666667,0.50,0.25,3.85E+01,4.69E+01,42,2.0
4/19/23,9,40,DMEL,1,F,0.0012,6.616666667,0.50,0.25,4.5674E+01,5.2379E+01,42,2.0
4/19/23,9,41,DMEL,1,F,0.0009,6.683333333,0.50,0.25,2.47E+01,2.82E+01,42,2.0
4/19/23,9,43,DMEL,1,F,0.0010,6.733333333,0.50,0.25,4.03E+01,4.94E+01,42,2.0
4/19/23,9,44,DMEL,1,F,0.0010,6.783333333,0.50,0.25,4.15E+01,4.99E+01,42,2.0
4/19/23,9,46,DMEL,1,F,0.0009,6.833333333,0.50,0.25,3.44E+01,50.45004,42,2.0
4/20/23,22,1,DMEL,2,F,0.0014,3.983333333,0.50,0.25,2.41E+01,2.66E+01,217,2.0
4/20/23,19,2,DMEL,2,F,0.0010,4.033333333,0.50,0.25,2.94E+01,2.85E+01,42,1.0
4/20/23,19,3,DMEL,2,F,0.0010,4.083333333,0.50,0.25,2.51E+01,2.91E+01,42,1.0
4/20/23,19,4,DMEL,2,F,0.0010,4.133333333,0.50,0.25,2.54E+01,3.76E+01,42,1.0
4/20/23,19,5,DMEL,2,F,0.0009,4.166666667,0.50,0.25,2.15E+01,29.00501,42,1.0
4/20/23,19,6,DMEL,2,F,0.0010,4.216666667,0.50,0.25,2.74E+01,3.46E+01,42,1.0
4/20/23,45,7,DMEL,2,M,0.0007,4.25,0.50,0.25,2.42E+01,2.40E+01,217,2.0
4/20/23,45,8,DMEL,2,M,0.0007,4.283333333,0.50,0.25,2.90E+01,30.61652,217,2.0
4/20/23,21,9,DMEL,2,M,0.0007,4.333333333,0.50,0.25,3.03E+01,27.75616,217,2.0
4/20/23,44,10,DMEL,2,M,0.0007,4.383333333,0.50,0.25,2.70E+01,2.32E+01,217,2.0
4/20/23,44,11,DMEL,2,M,0.0006,4.433333333,0.50,0.25,2.23E+01,2.99E+01,217,2.0
4/20/23,44,12,DMEL,2,M,0.0007,4.066666667,0.50,0.25,2.21E+01,2.66E+01,217,2.0
4/20/23,23,14,DMEL,2,M,0.0007,4.133333333,0.50,0.25,2.04E+01,2.38E+01,217,0.5
4/20/23,48,15,DMEL,2,M,0.0005,4.166666667,0.50,0.25,1.79E+01,2.26E+01,217,1.0
4/20/23,48,16,DMEL,2,M,0.0007,4.216666667,0.50,0.25,1.92E+01,1.51E+01,217,1.0
4/20/23,41,18,DMEL,2,M,0.0007,4.266666667,0.50,0.25,1.06E+01,1.77E+01,42,1.0
4/20/23,38,19,DMEL,2,F,0.0011,4.85,0.50,0.25,2.61E+01,3.35E+01,217,0.5
4/20/23,25,20,DMEL,2,F,0.0012,4.316666667,0.50,0.25,2.17E+01,2.06E+01,42,1.0
4/20/23,27,21,DMEL,2,M,0.0007,4.35,0.50,0.25,9.28E+00,1.35E+01,42,1.0
4/20/23,27,22,DMEL,2,M,0.0007,4.383333333,0.50,0.25,1.58E+01,1.60E+01,42,2.0
4/20/23,20,23,DMEL,2,M,0.0007,4.433333333,0.50,0.25,1.42E+01,13.60733,42,0.5
4/20/23,20,24,DMEL,2,M,0.0007,4.183333333,0.50,0.25,2.32E+01,27.43597,42,0.5
4/20/23,20,25,DMEL,2,M,0.0007,4.216666667,0.50,0.25,1.85E+01,21.21606,42,1.0
4/20/23,20,26,DMEL,2,M,0.0007,4.266666667,0.50,0.25,2.06E+01,2.36E+01,42,1.0
4/20/23,20,27,DMEL,2,M,0.0007,5.333333333,0.50,0.25,1.88E+01,2.04E+01,42,1.0
4/20/23,20,28,DMEL,2,M,0.0008,5.383333333,0.50,0.25,2.54E+01,26.4157,42,1.0
4/20/23,28,29,DMEL,2,M,0.0007,5.433333333,0.50,0.25,2.52E+01,3.46E+01,42,1.0
4/20/23,28,30,DMEL,2,M,0.0007,5.483333333,0.50,0.25,2.60E+01,2.17E+01,42,1.0
4/20/23,40,31,DMEL,2,M,0.0007,5.516666667,0.50,0.25,2.55E+01,3.38E+01,42,1.0
4/20/23,40,33,DMEL,2,M,0.0007,5.566666667,0.50,0.25,2.85E+01,34.56733,42,1.0
4/20/23,40,34,DMEL,2,M,0.0007,5.616666667,0.50,0.25,2.85E+01,33.4976,42,2.0
4/20/23,30,35,DMEL,2,F,0.0010,4.383333333,0.50,0.25,3.00E+01,32.88621,42,2.0
4/20/23,30,37,DMEL,2,F,0.0013,4.433333333,0.50,0.25,1.37E+01,26.04327,42,2.0
4/20/23,37,38,DMEL,2,F,0.0014,4.466666667,0.50,0.25,5.13E+00,3.599947,217,1.0
4/20/23,24,39,DMEL,2,F,0.0014,4.516666667,0.50,0.25,1.07E+01,13.39153,217,1.0
4/20/23,35,40,DMEL,2,F,0.0011,4.566666667,0.50,0.25,2.50E+01,27.30008,217,1.0
4/20/23,16,41,DMEL,2,F,0.0009,4.6,0.50,0.25,1.91E+01,2.82E+01,217,1.0
4/20/23,16,43,DMEL,2,F,0.0010,4.65,0.50,0.25,2.06E+01,2.33E+01,42,1.0
4/20/23,33,44,DMEL,2,F,0.0012,4.7,0.50,0.25,3.68E+01,5.59E+01,42,2.0
4/20/23,32,46,DMEL,2,F,0.0014,4.8,0.50,0.25,2.39E+01,3.41E+01,42,2.0
4/20/23,38,47,DMEL,2,F,0.0011,4.75,0.50,0.25,1.98E+01,2.77E+01,42,0.5
4/21/23,77,1,DMEL,3,M,0.0007,3.75,0.50,0.25,2.07E+01,28.49711,217,2.0
4/21/23,77,2,DMEL,3,M,0.0007,3.8,0.50,0.25,2.06E+01,2.22E+01,217,2.0
4/21/23,77,3,DMEL,3,M,0.0007,3.833333333,0.50,0.25,1.87E+01,1.74E+01,217,2.0
4/21/23,87,4,DMEL,3,M,0.0007,3.883333333,0.50,0.25,2.21E+01,1.97E+01,217,1.0
4/21/23,87,5,DMEL,3,M,0.0008,3.933333333,0.50,0.25,2.56E+01,2.75E+01,217,1.0
4/21/23,87,6,DMEL,3,M,0.0007,3.966666667,0.50,0.25,2.42E+01,2.37E+01,217,1.0
4/21/23,87,7,DMEL,3,M,0.0007,4.016666667,0.50,0.25,2.72E+01,2.94E+01,217,1.0
4/21/23,87,8,DMEL,3,M,0.0007,4.066666667,0.50,0.25,1.91E+01,1.63E+01,217,1.0
4/21/23,73,9,DMEL,3,M,0.0007,4.1,0.50,0.25,1.2659E+01,2.2785E+01,42,0.5
4/21/23,72,10,DMEL,3,M,0.0007,4.15,0.50,0.25,2.81E+01,3.25E+01,42,1.0
4/21/23,72,11,DMEL,3,M,0.0007,4.2,0.50,0.25,2.82E+01,3.68E+01,42,1.0
4/21/23,72,12,DMEL,3,M,0.0007,4.233333333,0.50,0.25,2.60E+01,2.07E+01,42,1.0
4/21/23,72,13,DMEL,3,M,0.0008,4.616666667,0.50,0.25,2.61E+01,30.31714,42,1.0
4/21/23,83,14,DMEL,3,M,0.0007,4.65,0.50,0.25,1.32E+01,1.45E+01,42,0.5
4/21/23,60,15,DMEL,3,F,0.0011,4.7,0.50,0.25,2.00E+01,3.13E+01,42,0.5
4/21/23,60,16,DMEL,3,F,0.0009,4.733333333,0.50,0.25,1.94E+01,2.44E+01,42,0.5
4/21/23,59,18,DMEL,3,F,0.0015,4.833333333,0.50,0.25,2.47E+01,3.47E+01,42,2.0
4/21/23,79,19,DMEL,3,M,0.0008,4.883333333,0.50,0.25,2.77E+01,25.59661,42,2.0
4/21/23,79,20,DMEL,3,M,0.0007,4.95,0.50,0.25,2.85E+01,17.39597,42,2.0
4/21/23,79,21,DMEL,3,M,0.0007,5,0.50,0.25,2.45E+01,2.23E+01,42,2.0
4/21/23,79,22,DMEL,3,M,0.0007,5.05,0.50,0.25,2.59E+01,2.97E+01,42,2.0
4/21/23,79,23,DMEL,3,M,0.0007,5.083333333,0.50,0.25,2.32E+01,2.41E+01,42,2.0
4/21/23,79,24,DMEL,3,M,0.0006,5.133333333,0.50,0.25,2.57E+01,2.88E+01,42,2.0
4/21/23,79,25,DMEL,3,M,0.0007,5.216666667,0.50,0.25,2.7799E+01,1.7312E+01,42,2.0
4/21/23,79,26,DMEL,3,M,0.0007,5.25,0.50,0.25,2.2653E+01,2.5700E+01,217,0.5
4/21/23,69,27,DMEL,3,F,0.0016,5.3,0.50,0.25,2.57E+01,4.52E+01,217,0.5
4/21/23,69,28,DMEL,3,F,0.0011,5.35,0.50,0.25,3.15E+01,3.93E+01,217,0.5
4/21/23,63,29,DMEL,3,F,0.0015,5.416666667,0.50,0.25,2.84E+01,3.18E+01,217,2.0
4/21/23,75,30,DMEL,3,M,0.0008,5.45,0.50,0.25,1.82E+01,1.30E+01,217,2.0
4/21/23,75,31,DMEL,3,M,0.0007,5.5,0.50,0.25,2.57E+01,2.25E+01,217,0.5
4/21/23,59,48,DMEL,3,F,0.0015,4.783333333,0.50,0.25,2.15E+01,1.97E+01,217,0.5
4/24/23,385,1,DMEL,4,M,0.0006,3.95,0.50,0.25,8.59E+00,17.79645,42,0.5
4/24/23,385,2,DMEL,4,M,0.0006,4,0.50,0.25,9.13E+00,13.51895,42,0.5
4/24/23,385,3,DMEL,4,M,0.0006,4.05,0.50,0.25,1.48E+01,1.50E+01,42,0.5
4/24/23,342,4,DMEL,4,M,0.0007,4.116666667,0.50,0.25,2.30E+01,21.59339,217,1.0
4/24/23,342,5,DMEL,4,M,0.0006,4.183333333,0.50,0.25,1.47E+01,16.47195,217,1.0
4/24/23,311,6,DMEL,4,M,0.0005,4.216666667,0.50,0.25,7.46E+00,5.93E+00,217,0.5
4/24/23,311,7,DMEL,4,M,0.0005,4.266666667,0.50,0.25,7.23E+00,2.89E+00,217,0.5
4/24/23,311,8,DMEL,4,M,0.0006,4.316666667,0.50,0.25,9.28E+00,6.48E+00,217,0.5
4/24/23,311,9,DMEL,4,M,0.0006,4.366666667,0.50,0.25,8.61E+00,8.53E+00,217,0.5
4/24/23,316,10,DMEL,4,M,0.0007,4.783333333,0.50,0.25,2.67E+01,34.36687,42,0.5
4/24/23,316,11,DMEL,4,M,0.0007,4.083333333,0.50,0.25,2.47E+01,25.13222,42,0.5
4/24/23,316,12,DMEL,4,M,0.0006,4.15,0.50,0.25,2.62E+01,2.23E+01,42,0.5
4/24/23,316,13,DMEL,4,M,0.0006,4.216666667,0.50,0.25,2.40E+01,2.48E+01,42,0.5
4/24/23,316,14,DMEL,4,M,0.0007,4.266666667,0.50,0.25,2.48E+01,30.01821,42,0.5
4/24/23,391,16,DMEL,4,M,0.0007,4.333333333,0.50,0.25,1.95E+01,2.63E+01,217,1.0
4/24/23,336,18,DMEL,4,F,0.0012,4.433333333,0.50,0.25,3.18E+01,3.97E+01,217,1.0
4/24/23,336,19,DMEL,4,F,0.0010,4.483333333,0.50,0.25,2.81E+01,3.38E+01,217,1.0
4/24/23,336,20,DMEL,4,F,0.0013,4.533333333,0.50,0.25,3.32E+01,4.42E+01,217,1.0
4/24/23,332,21,DMEL,4,F,0.0012,4.583333333,0.50,0.25,2.49E+01,3.12E+01,217,1.0
4/24/23,332,22,DMEL,4,F,0.0010,4.65,0.50,0.25,2.77E+01,3.56E+01,217,1.0
4/24/23,361,23,DMEL,4,F,0.0013,4.716666667,0.50,0.25,4.13E+01,45.56898,42,0.5
4/24/23,361,24,DMEL,4,F,0.0012,4.5,0.50,0.25,4.14E+01,43.90294,42,0.5
4/24/23,357,25,DMEL,4,F,0.0011,4.55,0.50,0.25,4.20E+01,5.48E+01,42,0.5
4/24/23,360,26,DMEL,4,F,0.0011,4.6,0.50,0.25,3.49E+01,3.81E+01,42,1.0
4/24/23,360,28,DMEL,4,F,0.0011,4.683333333,0.50,0.25,3.76E+01,3.85E+01,42,1.0
4/24/23,360,29,DMEL,4,F,0.0012,4.733333333,0.50,0.25,4.18E+01,5.07E+01,42,1.0
4/24/23,391,48,DMEL,4,M,0.0007,4.383333333,0.50,0.25,2.1463E+01,2.1256E+01,217,1.0