Picture_Code,Length mm,Testis_number,Age,Vial
221_2D_0033,0.31,1,2D,221
221_2D_0033,0.28,2,2D,221
221_2D_0029,0.24,1,2D,221
221_2D_0029,0.31,2,2D,221
221_2D_0028,0.25,1,2D,221
221_2D_0028,0.21,2,2D,221
221_2D_0027,0.29,1,2D,221
221_2D_0027,0.29,2,2D,221
221_2D_0025,0.3,1,2D,221
221_2D_0025,0.25,2,2D,221
345_2D_0013,0.27,1,2D,345
345_2D_0013,0.29,2,2D,345
345_2D_0014,0.19,1,2D,345
345_2D_0014,0.24,2,2D,345
426_2D_0006,0.32,1,2D,426
426_2D_0006,0.29,2,2D,426
426_2D_0004,0.3,1,2D,426
426_2D_0004,0.31,2,2D,426
245_2D_0022,0.29,1,2D,245
245_2D_0022,0.24,2,2D,245
245_2D_0021,0.32,1,2D,245
245_2D_0021,0.23,2,2D,245
245_2D_0024,0.32,1,2D,245
245_2D_0024,0.35,2,2D,245
226_2D_0013,0.43,1,2D,245
113_5D_0026,0.24,1,5D,113
113_5D_0026,0.21,2,5D,113
349_5D_0024,0.25,1,5D,349
349_5D_0024,0.25,2,5D,349
370_5D_0022,0.3,1,5D,370
370_5D_0022,0.26,2,5D,370
507_5D_0025,0.3,1,5D,507
507_5D_0025,0.31,2,5D,507
507_5D_0023,0.58,1,5D,507
507_5D_0023,0.33,2,5D,507
507_5D_0022,0.25,1,5D,507
507_5D_0022,0.23,2,5D,507
507_5D_0021,0.27,1,5D,507
507_5D_0021,0.31,2,5D,507
1140_0D_0046,0.27,1,0D,1140
1140_0D_0046,0.26,2,0D,1140
1140_0D_0047,0.87,1,0D,1140
1140_0D_0047,1.87,2,0D,1140
226_2D_0013,0.32,2,2D,226
226_2D_0010,0.62,1,2D,226
226_2D_0010,1.15,2,2D,226
226_2D_0009,1.04,1,2D,226
341_2D_0011,0.58,1,2D,341
341_2D_0010,1.09,1,2D,341
341_2D_0009,1.21,1,2D,341
341_2D_0009,1.11,2,2D,341
996_2D_0056,1.16,1,2D,996
996_2D_0055,0.91,1,2D,996
996_2D_0055,0.98,2,2D,996
996_2D_0054,0.74,1,2D,996
996_2D_0054,0.82,2,2D,996
996_2D_0053,1.03,1,2D,996
996_2D_0053,0.93,2,2D,996
996_2D_0052,0.67,1,2D,996
996_2D_0052,1.37,2,2D,996
996_2D_0050,1.06,1,2D,996
996_2D_0050,1.23,2,2D,996
225_2D_8734,1.06,1,2D,225
225_2D_8734,0.86,2,2D,225
225_2D_3348,0.99,1,2D,225
225_2D_3348,0.65,2,2D,225
225_2D_3164,0.7,1,2D,225
225_2D_8085,0.58,1,2D,225
287_2D_0008,1.32,1,2D,287
287_2D_0006,1.15,1,2D,287
287_2D_0006,0.77,2,2D,287
521_5D_0036,0.62,1,5D,521
521_5D_0036,0.91,2,5D,521
521_5D_0035,0.87,1,5D,521
521_5D_0034,0.75,1,5D,521
521_5D_0034,0.93,2,5D,521
521_5D_0033,0.46,1,5D,521
521_5D_0032,0.93,1,5D,521
553_5D_0042,0.67,1,5D,553
553_5D_0042,0.6,2,5D,553
587_5D_0027,0.34,1,5D,587
587_5D_0027,0.31,2,5D,587
639_5D_0050,1.03,1,5D,639
639_5D_0050,0.25,2,5D,639
321_5D_0007,0.59,1,5D,321
321_5D_0008,0.2,1,5D,321
321_5D_0008,0.58,2,5D,321
321_5D_0008,0.98,3,5D,321
321_5D_0009,0.69,1,5D,321
605_5D_0039,1.17,1,5D,605
605_5D_0039,1.17,2,5D,605
605_5D_0040,1.04,1,5D,605
605_5D_0040,0.8,2,5D,605
321_5D_0007,0.78,2,5D,321
334_5D_0004,1.07,1,5D,334
334_5D_0004,0.82,2,5D,334
334_5D_0002,1.19,1,5D,334
334_5D_0002,1.1,2,5D,334
89_5D_0019,0.29,1,5D,89
89_5D_0019,0.26,2,5D,89
89_5D_0021,0.25,1,5D,89
89_5D_0021,0.33,2,5D,89
95_5D_0027,0.3,1,5D,95
95_5D_0027,0.28,2,5D,95
100_5D_0015,0.23,1,5D,100
100_5D_0015,0.22,2,5D,100
100_5D_0016,0.29,1,5D,100
100_5D_0016,0.32,2,5D,100
174_5D_0019,0.17,1,5D,174
174_5D_0019,0.27,2,5D,174
174_5D_0021,0.2,1,5D,174
174_5D_0021,0.22,2,5D,174
186_5D_0003,1.12,1,5D,186
186_5D_0004,1.25,1,5D,186
186_5D_0004,1.05,2,5D,186
291_2D_0014,0.26,1,2D,291
291_2D_0014,0.24,2,2D,291
317_5D_0012,1,1,5D,317
317_5D_0013,0.25,1,5D,317
317_5D_0014,0.31,1,5D,317
291_2D_0015,0.25,1,2D,291
291_2D_0015,0.31,2,2D,291
313_5D_0026,0.31,1,5D,313
313_5D_0026,0.23,2,5D,313
313_5D_0027,0.31,1,5D,313
313_5D_0027,0.23,2,5D,313
347_2D_0001,0.31,1,2D,347
347_2D_0001,0.23,2,2D,347
347_2D_0002,0.25,1,2D,347
354_5D_0020,0.25,1,5D,354
354_5D_0020,0.23,2,5D,354
354_5D_0022,0.27,1,5D,354
354_5D_0022,0.3,2,5D,354
368_5D_0001,0.24,1,5D,368
368_5D_0001,0.21,2,5D,368
473_2D_0013,1.09,1,2D,473
473_2D_0013,0.65,2,2D,473
473_2D_0014,0.61,1,2D,473
543_2D_0002,0.35,1,2D,543
543_2D_0002,0.21,2,2D,543
543_2D_0003,0.21,1,2D,543
543_2D_0003,0.31,2,2D,543
573_5D_0016,0.82,1,5D,573
573_5D_0016,1.15,2,5D,573
573_5D_0018,0.67,1,5D,573
573_5D_0018,1.11,2,5D,573
589_5D_0037,0.73,1,5D,589
589_5D_0038,0.82,1,5D,589
1008_2D_0031,0.27,1,2D,1008
1008_2D_0031,0.23,2,2D,1008
1008_2D_0032,0.26,1,2D,1008
1008_2D_0032,0.23,2,2D,1008
1052_2D_0029,1.07,1,2D,1052
1052_2D_0029,0.44,2,2D,1052
1052_2D_0030,0.81,1,2D,1052
1052_2D_0030,0.77,2,2D,1052
1124_0D_0005,0.21,1,0D,1124
1124_0D_0005,0.21,2,0D,1124
1124_0D_0006,0.21,1,0D,1124
1126_0D_0027,0.2,1,0D,1126
1126_0D_0027,0.3,2,0D,1126
1126_0D_0028,0.2,1,0D,1126
1126_0D_0028,0.23,2,0D,1126
1132_0D_0001,0.31,1,0D,1132
1132_0D_0001,0.2,2,0D,1132
1132_0D_0002,0.22,1,0D,1132
1134_0D_0039,0.31,1,0D,1134
1134_0D_0040,0.19,1,0D,1134
1134_0D_0040,0.28,2,0D,1134
1136_0D_0016,0.27,1,0D,1136
1136_0D_0016,0.2,2,0D,1136
1136_0D_0017,0.49,1,0D,1136
1136_0D_0017,1.01,2,0D,1136
1138_0D_0011,0.6,1,0D,1138
1138_0D_0011,0.73,2,0D,1138
1138_0D_0012,0.33,1,0D,1138
1144_0D_0023,0.24,1,0D,1144
1144_0D_0024,0.28,1,0D,1144
1144_0D_0024,0.26,2,0D,1144
1181_0D_0006,0.28,1,0D,1181
1181_0D_0006,0.19,2,0D,1181
1181_0D_0007,0.65,1,0D,1181
1182_0D_0015,0.34,1,0D,1182
1182_0D_0015,0.27,2,0D,1182
1183_0D_0013,0.35,1,0D,1183
1183_0D_0013,0.25,2,0D,1183
1183_0D_0014,0.7,1,0D,1183
1183_0D_0014,0.87,2,0D,1183
1184_0D_0002,0.17,1,0D,1184
1184_0D_0002,0.29,2,0D,1184
1184_0D_0004,0.24,1,0D,1184
1185_0D_0010,1.11,1,0D,1185
1185_0D_0010,1.09,2,0D,1185
1186_0D_0043,0.31,1,0D,1186
1186_0D_0045,0.28,1,0D,1186
1186_0D_0045,0.16,2,0D,1186
1187_0D_0001,1.01,1,0D,1187
1187_0D_0001,0.74,2,0D,1187
1188_0D_0011,0.92,1,0D,1188
1188_0D_0011,0.79,2,0D,1188
1188_0D_0012,0.66,1,0D,1188
1188_0D_0012,0.95,2,0D,1188
100_5D_0018,0.31,1,5D,100
100_5D_0018,0.27,2,5D,100
186_5D_0005,0.77,1,5D,186
186_5D_0007,0.55,1,5D,186
186_5D_0007,1.1,2,5D,186
186_5D_0011,0.9,1,5D,186
186_5D_0011,0.72,2,5D,186
291_2D_0016,0.3,1,2D,291
291_2D_0016,0.28,2,2D,291
291_2D_0017,0.34,1,2D,291
291_2D_0017,0.27,2,2D,291
291_2D_0020,0.27,1,2D,291
291_2D_0020,0.25,2,2D,291
291_2D_0024,0.21,1,2D,291
291_2D_0024,0.21,2,2D,291
313_5D_0028,0.28,1,5D,313
313_5D_0028,0.21,2,5D,313
313_5D_0030,0.34,1,5D,313
313_5D_0030,0.2,2,5D,313
313_5D_0031,0.2,1,5D,313
313_5D_0031,0.25,2,5D,313
313_5D_0032,0.32,1,5D,313
313_5D_0032,0.37,2,5D,313
313_5D_0033,0.37,1,5D,313
313_5D_0033,0.32,2,5D,313
313_5D_0035,0.26,1,5D,313
313_5D_0035,0.26,2,5D,313
313_5D_0036,0.29,1,5D,313
313_5D_0036,0.31,2,5D,313
313_5D_0038,0.23,1,5D,313
313_5D_0038,0.23,2,5D,313
313_5D_0040,0.3,1,5D,313
313_5D_0040,0.32,2,5D,313
317_5D_0015,0.3,1,5D,317
317_5D_0016,0.25,1,5D,317
317_5D_0018,0.25,1,5D,317
317_5D_0018,0.21,2,5D,317
317_5D_0019,0.26,1,5D,317
317_5D_0019,0.16,2,5D,317
347_2D_0003,0.21,1,2D,347
347_2D_0003,0.24,2,2D,347
354_5D_0022,0.28,1,5D,354
473_2D_0016,0.45,1,2D,473
473_2D_0017,0.8,1,2D,473
473_2D_0017,0.53,2,2D,473
543_2D_0004,0.28,1,2D,543
543_2D_0004,0.19,2,2D,543
543_2D_0005,0.27,1,2D,543
543_2D_0005,0.28,2,2D,543
543_2D_0008,0.28,1,2D,543
543_2D_0008,0.26,2,2D,543
573_5D_0019,1.1,1,5D,573
573_5D_0019,0.88,2,5D,573
1008_2D_0035,0.3,1,2D,1008
1008_2D_0035,0.19,2,2D,1008
1008_2D_0036,0.35,1,2D,1008
1008_2D_0038,0.2,1,2D,1008
1008_2D_0038,0.25,2,2D,1008
1008_2D_0034,0.26,1,2D,1008
1008_2D_0034,0.31,2,2D,1008
1124_0D_0009,0.3,1,0D,1124
1124_0D_0009,0.27,2,0D,1124
1124_0D_0010,0.26,1,0D,1124
1124_0D_0010,0.29,2,0D,1124
1126_0D_0029,0.16,1,0D,1126
1126_0D_0030,0.22,1,0D,1126
1126_0D_0030,0.17,2,0D,1126
1132_0D_0003,0.26,1,0D,1132
1132_0D_0003,0.26,2,0D,1132
1132_0D_0003,0.18,3,0D,1132
1132_0D_0003,0.3,4,0D,1132
1134_0D_0041,0.25,1,0D,1134
1134_0D_0041,0.21,2,0D,1134
1134_0D_0042,0.3,1,0D,1134
1134_0D_0042,0.25,2,0D,1134
1134_0D_0043,0.25,1,0D,1134
1134_0D_0043,0.24,2,0D,1134
1134_0D_0044,0.27,1,0D,1134
1136_0D_0018,1.16,1,0D,1136
1136_0D_0018,1.06,2,0D,1136
1136_0D_0020,0.25,1,0D,1136
1136_0D_0020,0.24,2,0D,1136
1136_0D_0021,0.8,1,0D,1136
1136_0D_0021,0.67,3,0D,1136
1138_0D_0013,0.2,1,0D,1138
1138_0D_0014,0.58,1,0D,1138
1138_0D_0014,0.25,2,0D,1138
1138_0D_0015,0.71,1,0D,1138
1138_0D_0015,0.68,2,0D,1138
1181_0D_0009,0.92,1,0D,1181
1181_0D_0009,1.18,2,0D,1181
1181_0D_0008,0.99,1,0D,1181
1184_0D_0005,0.17,1,0D,1184
1184_0D_0005,0.15,2,0D,1184
1186_0D_0047,0.21,1,0D,1186
1186_0D_0047,0.24,2,0D,1186
1186_0D_0048,0.23,1,0D,1186
1186_0D_0048,0.32,2,0D,1186
1186_0D_0049,0.24,1,0D,1186
1186_0D_0049,0.22,2,0D,1186
349_5D_0023,0.3,1,5D,349
349_5D_0023,0.21,2,5D,349
349_5D_0024,0.22,1,5D,349
349_5D_0024,0.26,2,5D,349